"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
TRUE,TRUE,FALSE,TRUE,FALSE,"3f23ceb1ef108f7ce9cc7e5665c1f6af","Atopostipes"
FALSE,FALSE,FALSE,TRUE,FALSE,"f72abff20162a869f7fb14c9b9468835","Jeotgalicoccus"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16","Staphylococcus"
FALSE,TRUE,FALSE,TRUE,FALSE,"34f93d4b535472fbbe0ae88becfe4254","Fictibacillus"
TRUE,FALSE,TRUE,TRUE,FALSE,"bb22e6d2b4e7939ff1edc50cab5c9130","Bacillus"
FALSE,TRUE,FALSE,FALSE,FALSE,"ec838891faa3317f3afcd2d38b4e1923","Bacillaceae_f"
FALSE,FALSE,FALSE,FALSE,TRUE,"caa5248c2660878fac2218b81b13b8e0","Lysinibacillus"
FALSE,TRUE,FALSE,TRUE,FALSE,"126f3c073f21d6632d9d256142537db3","Sporosarcina"
TRUE,FALSE,TRUE,FALSE,FALSE,"b237acb7c9ea317b7038f24d96d5d302","Anoxybacillus"
TRUE,TRUE,FALSE,FALSE,TRUE,"4ceaf0eaf760e1d547cc7b69a0caf8af","Leuconostoc"
TRUE,TRUE,TRUE,TRUE,TRUE,"026a1823043132ceb767cb524b84af87","Eremococcus"
TRUE,TRUE,TRUE,TRUE,FALSE,"74aa557dd13c317520912ce37b152b31","JG30-KF-CM45"
TRUE,TRUE,FALSE,FALSE,FALSE,"7db7de8a510d8e855bc4f30b30e33de0","Treponema"
FALSE,FALSE,FALSE,TRUE,FALSE,"8459d7cb3a2b19a181aa31512f398869","EcFYyy-200"
FALSE,FALSE,FALSE,TRUE,FALSE,"45e3f3f280507375f3d96c07e56be4c3","Pleurocapsa_PCC-7319"
FALSE,FALSE,FALSE,TRUE,TRUE,"47197ee817bb57421f861e8b877e0588","Chroococcidiopsaceae_f"
FALSE,FALSE,FALSE,TRUE,FALSE,"e863f60c2b404781ce435283c0b37574","Calothrix_PCC-6303"
TRUE,TRUE,FALSE,FALSE,FALSE,"94ba1d038ff0bdf31a29042ca50df39d","Haoranjiania"
FALSE,FALSE,FALSE,FALSE,TRUE,"de2b4b14636d09e2d4611f822ab82457","Bacteroidia_c"
TRUE,TRUE,TRUE,FALSE,FALSE,"b230581a663e0797c9116d2661cab125","Sphingobacterium"
FALSE,FALSE,FALSE,TRUE,FALSE,"4ca87931296e46e2741cdfd5d76d51e4","Pedobacter"
TRUE,TRUE,FALSE,FALSE,FALSE,"fe278eabfc85664fcf6e9acd8162be2d","Porphyromonas"
TRUE,TRUE,TRUE,TRUE,FALSE,"93e5a7a097bc4ddfb97c9908b7e32efd","Prevotellaceae_f"
FALSE,TRUE,FALSE,TRUE,FALSE,"50a12e0b6a6399f107bdfcadc93a8cc4","Prevotella"
TRUE,FALSE,FALSE,FALSE,FALSE,"300837fe392a9506546f1970bd365d4b","Prevotella_7"
TRUE,FALSE,FALSE,TRUE,FALSE,"05fcdbf22abe66e94b0ede4dfd85ca1e","Alloprevotella"
TRUE,TRUE,TRUE,FALSE,TRUE,"b765346d065e508c6263c505decbb3f2","Muribaculaceae"
