"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
TRUE,FALSE,FALSE,FALSE,FALSE,"c89aa29e55284c3120bbcee0177c18b9","Planctomycetales_o"
FALSE,FALSE,FALSE,FALSE,TRUE,"aa746099ad73c67aac56c81536549595","Thermoleophilum"
FALSE,FALSE,FALSE,TRUE,FALSE,"7515c96cc69c940c2521d2ed4ac90adc","67-14"
TRUE,TRUE,TRUE,FALSE,FALSE,"e26b0fa334d8f338ba34578cb7c0d3cc","Parviterribacter"
TRUE,FALSE,TRUE,TRUE,FALSE,"5bd3af0138e11ba03030ffee3ff0d14d","Acidimicrobiia_c"
TRUE,TRUE,TRUE,TRUE,TRUE,"4748e8a42d43b5abde091a50264f9a92","Blastococcus"
FALSE,TRUE,FALSE,TRUE,FALSE,"261dfeeb6c011ef257861b2a0fe3bb7d","Brevibacterium"
TRUE,TRUE,FALSE,TRUE,TRUE,"81e7661c8ebb6e0fc435211e9aa6a47c","Kocuria"
TRUE,TRUE,TRUE,TRUE,TRUE,"443fb2d16fc7d839c24c5a7a7826dec6","Rothia"
FALSE,TRUE,FALSE,TRUE,TRUE,"db1e0886cb9529333a47b8ff4347c63b","Intrasporangiaceae_f"
FALSE,TRUE,TRUE,FALSE,TRUE,"873b0b68e099323e1d2ca5d17606a11d","Pseudoclavibacter"
FALSE,FALSE,FALSE,TRUE,FALSE,"9ac455d7d7a26fed46036043403628e6","Agrococcus"
TRUE,TRUE,TRUE,TRUE,TRUE,"c123804c63e25b6390ad734e64c31e6c","Microbacterium"
TRUE,TRUE,FALSE,TRUE,TRUE,"f889bb2bb25f73012084bb11ae950a17","Microbacteriaceae_f"
TRUE,TRUE,TRUE,TRUE,FALSE,"0db1ad2d6b4b45fa3e3e40aa9f5ee692","Janibacter"
TRUE,TRUE,FALSE,FALSE,FALSE,"c8f0916f6fd2f533a204b73879084a4f","Cellulomonas"
FALSE,FALSE,TRUE,FALSE,FALSE,"2235fb3906484370e48c37388c4cd746","Promicromonospora"
FALSE,TRUE,FALSE,FALSE,FALSE,"488029799c26f2d7eaf7df8899ad7c34","Cellulosimicrobium"
FALSE,FALSE,FALSE,FALSE,TRUE,"79c2d824228c4d17533d54fa05f593ed","Terrabacter"
FALSE,TRUE,FALSE,TRUE,TRUE,"2babd2316a955b8126c1d574928eded1","Arsenicicoccus"
FALSE,FALSE,FALSE,FALSE,TRUE,"cbb091b5e5b0289d04c52c93172f0400","Ornithinimicrobium"
TRUE,FALSE,FALSE,FALSE,FALSE,"9fb4d1ef56025a3efd044096543a3686","Leucobacter"
FALSE,FALSE,TRUE,FALSE,FALSE,"867ea09fd0e8bc911475f9097bd2e57d","Arthrobacter"
TRUE,TRUE,FALSE,FALSE,TRUE,"aa84576af3343730c84146140496a807","Calidifontibacter"
TRUE,TRUE,TRUE,TRUE,TRUE,"2bec1063c452ea81ad6d1f8ea021d50d","Yimella"
TRUE,TRUE,FALSE,TRUE,FALSE,"f88845e22ed4975c40c05e8f527554b3","Piscicoccus"
TRUE,TRUE,TRUE,TRUE,TRUE,"73664aa4932bcfe5379274e489d0bf1c","Micrococcus"
TRUE,TRUE,TRUE,TRUE,TRUE,"8c78f224069832cd7fd7e9efcf616ab9","Dermacoccus"
TRUE,TRUE,TRUE,TRUE,TRUE,"13b8688bc0b096a8da1566d3bb25a9db","Williamsia"
TRUE,FALSE,TRUE,FALSE,TRUE,"c3241e1fde3826e45858fd4cd3f070d5","Streptomyces"
FALSE,FALSE,FALSE,TRUE,FALSE,"8d3243f2860964ff8177daf941fb6068","Lechevalieria"
TRUE,TRUE,TRUE,TRUE,TRUE,"0de497e4baa9d071845afc073d10fba6","Gordonia"
TRUE,TRUE,TRUE,TRUE,TRUE,"a1d949f27725f089c27c233027c5f692","Rhodococcus"
FALSE,FALSE,FALSE,TRUE,FALSE,"79ab60724f24643048b657b079f00b4b","Corynebacteriales_o"
FALSE,TRUE,FALSE,FALSE,TRUE,"e582ed5906dc643509303e1e7de0e8e9","Actinomycetospora"
FALSE,TRUE,TRUE,TRUE,FALSE,"a8ebe6695f3741b63f135708fa4c894d","Pseudonocardia"
TRUE,TRUE,TRUE,TRUE,TRUE,"33a077fde7c403e6b08c5b967e3df0a1","Mycobacterium"
TRUE,TRUE,TRUE,TRUE,TRUE,"daca34875367c76ab8b8452940d60fdf","Dietzia"
TRUE,TRUE,TRUE,TRUE,TRUE,"0df52bde0ac287bb20a6c5a9a66201f2","Lawsonella"
FALSE,FALSE,FALSE,FALSE,TRUE,"8de58ef371630c3e4c24d74a8f7ecf2a","Corynebacteriaceae"
TRUE,TRUE,TRUE,TRUE,TRUE,"04ae6d4e93605dc0fd87868b6069bbbf","Corynebacteriaceae_f"
TRUE,TRUE,TRUE,TRUE,TRUE,"b5abf1472c7313362f3234de5c1a8efa","Corynebacterium"
