"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Abundance.TrueSample"	"Abundance.Control"	"Prevalence.TrueSample"	"Prevalence.Control"	"PrevalencePercent.TrueSample"	"PrevalencePercent.Control"	"contam_th01"	"contam_th02"	"contam_th03"	"contam_th04"	"contam_th05"	"contam_th06"	"contam_th07"	"contam_th08"	"contam_th09"
"56"	"576f3545195a38de7df860d7da71a63f"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	6.10553859572612e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"57"	"ee974b4d7e49cc84bc2a7503e47d54f0"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.00610553859573e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"58"	"4f9310d5cd6c6c183b8879af83ceea5f"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.61665939816834e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"59"	"31e27b5dd55ade850670ca96d01f95d9"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.61665939816834e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"60"	"074002d52e5c30afc4b32f2ef5a3ce66"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	6.97775839511557e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"61"	"f876aca38d2dbd1e06594034ea45d23b"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.04666375926734e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"62"	"3699c22f10bb63d92601b1e33fba4f00"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.61665939816834e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"63"	"0381f8bec09746f00964e51bf88c30d6"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	6.10553859572612e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"64"	"34ce2d1fda8aba78d83daa5247f6e2eb"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.12128574098299e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"65"	"54b9296ba8ba4237a291fae063ce7d3f"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.19313944817301e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"66"	"1e09290bbd9bd8af0fb9974c671ba38c"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.48820596770593e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"67"	"2fca689722d227e5d2459fbf09056b96"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	7.44102983852965e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"68"	"62ea12f28db9c190fb72431624d39877"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	0.00010998877874858	0	5	0	10	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"69"	"9b646d7521c7c35f6fae390cb5064731"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	7.71109111939339e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"70"	"ece73bf9e4f16db15c0adc85d16f5563"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	5.83884780070066e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"71"	"18c0b15858473625cb6d8a3595bb827e"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	7.74893452150329e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"72"	"9ea4485f2cee6635d12db81b107c8ef2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	3.57941834451902e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"73"	"53fc93dac42e393533fe2e8e0af269be"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.39555167902311e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"74"	"aac52aa2242f042516bcf9791bac3769"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.02814548258579e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"75"	"46265de60a20696f1c942a807612d0f8"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	7.44102983852965e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"76"	"92ef5aa7f36bb0b9cf750b09c0911286"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Bogoriellaceae"	"Georgenia"	"Georgenia_g"	4.40649958689066e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"77"	"25848ae45c11d2d67ec457e52a8c2f3b"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Bogoriellaceae"	"Georgenia"	"Georgenia_g"	0	0.00030993336432667	0	1	0	20	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
