"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus","subset","filtering"
TRUE,FALSE,FALSE,TRUE,FALSE,"f72abff20162a869f7fb14c9b9468835","Jeotgalicoccus","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16","Staphylococcus","Total","No abundance filtering"
FALSE,TRUE,FALSE,TRUE,FALSE,"34f93d4b535472fbbe0ae88becfe4254","Fictibacillus","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"bb22e6d2b4e7939ff1edc50cab5c9130","Bacillus","Total","No abundance filtering"
TRUE,TRUE,FALSE,FALSE,FALSE,"ec838891faa3317f3afcd2d38b4e1923","Bacillaceae_f","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"28e82ac50faab22d9428d78c36181743","Hydrogenispora","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"e423277f6fcd9bead5bf13ade58d4de5","Brevibacillus","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"caa5248c2660878fac2218b81b13b8e0","Lysinibacillus","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"050d46a27980fc3cbc7f1a3d04b66b12","Planococcaceae_f","Total","No abundance filtering"
FALSE,TRUE,TRUE,TRUE,FALSE,"126f3c073f21d6632d9d256142537db3","Sporosarcina","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,FALSE,"b237acb7c9ea317b7038f24d96d5d302","Anoxybacillus","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"cca62ce55fa1104839106ebc7d1a7667","Paenibacillus","Total","No abundance filtering"
TRUE,TRUE,FALSE,FALSE,TRUE,"4ceaf0eaf760e1d547cc7b69a0caf8af","Leuconostoc","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"6bee3eeab5d2aed2aab34621e25b49d8","HT002","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"116562121bfd1151c28e32ea067b1228","Lactobacillaceae_f","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"c16345411b2428ad706dd067e17bd77d","Facklamia","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"026a1823043132ceb767cb524b84af87","Eremococcus","Total","No abundance filtering"
FALSE,TRUE,TRUE,TRUE,TRUE,"20c71ebbcfbabf45f16036be051b7769","Gemella","Total","No abundance filtering"
TRUE,FALSE,FALSE,TRUE,FALSE,"f0a2510f876ac61a2018bf5abf3db6a2","Dubosiella","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"9ae36e9a8e7cceb827cfd1fa46652a45","Veillonella","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"59ef38dc6b706ebe3087a9c3c12872bd","Sporomusa","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"f701cbc5da10b2d9cba3b0728f832f73","AKYG1722","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"74aa557dd13c317520912ce37b152b31","JG30-KF-CM45","Total","No abundance filtering"
TRUE,TRUE,FALSE,FALSE,FALSE,"7db7de8a510d8e855bc4f30b30e33de0","Treponema","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"0b2fe4fb7db539ff9a4fa9d27c0faa62","Nodosilinea_PCC-7104","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"8459d7cb3a2b19a181aa31512f398869","EcFYyy-200","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,FALSE,"45e3f3f280507375f3d96c07e56be4c3","Pleurocapsa_PCC-7319","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"1dd2d03bf672608a258cb4ef5543cad2","Cyanobacteriales_o","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,TRUE,"47197ee817bb57421f861e8b877e0588","Chroococcidiopsaceae_f","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,FALSE,"e863f60c2b404781ce435283c0b37574","Calothrix_PCC-6303","Total","No abundance filtering"
