"condition_axis","condition_id","taxonomic_level","subject_id","site_group","systems_present","union_features","shared_all_five_features","intersection_over_union","shared_all_five_read_pct"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S001","Antecubital",5,5,4,0.8,99.9490665121099
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S001","Forehead",5,4,3,0.75,99.9801112043098
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S002","Antecubital",5,5,3,0.6,99.432564404782
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S002","Forehead",5,4,3,0.75,99.9851917666222
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S003","Antecubital",5,6,4,0.666666666666667,90.5014788921753
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S003","Forehead",5,5,2,0.4,97.2971730636635
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S004","Antecubital",5,5,5,1,100
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S004","Forehead",5,6,5,0.833333333333333,99.9745043048501
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S005","Antecubital",5,4,2,0.5,99.2288144956358
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus","S005","Forehead",5,5,3,0.6,99.1379172464533
