"ASV","Phylum","Genus","Species","true_sample_reads","control_reads","total_reads","true_sample_prevalence","control_prevalence"
"69e6fd478c7ea745a8d7bfbd9600195a","Proteobacteria","Neisseria","Neisseria_g",44,17,61,3,1
"b92f152681dbc5fe0a3758d6eb8a5352","Firmicutes","Streptococcus","Streptococcus_g",30,30,60,1,1
"8df42276596c8da9152a47542191421f","Proteobacteria","Dechloromonas","Dechloromonas_g",12,37,49,2,1
"17932ac3c52ad0a1130730fccdb1b9ed","Actinobacteriota","Corynebacterium","Corynebacterium_g",15,32,47,1,1
"2be047667538d1fe3544b8a4504d452b","Bacteroidota","Muribaculaceae","Muribaculaceae_g",11,34,45,2,1
"28d4804cd510461cd1fc4f3f7f711287","Proteobacteria","Acetobacter","Acetobacter_g",6,37,43,1,1
"37e5eaf84ef571ef522201ea47549439","Cyanobacteria","Candidatus_Obscuribacter","Candidatus_Obscuribacter_g",15,28,43,1,1
"ef7e7ee4a37d9c328b90f87d55d699a8","Proteobacteria","Variovorax","Variovorax_g",23,17,40,1,1
"7d181e8903232b80932beb1eef01c94f","Deinococcota","Thermus","Thermus_g",6,33,39,1,1
"84cb958bc116ba8c20da3ac589ca6101","Deinococcota","Thermus","Thermus_g",0,31,31,0,2
"6b7e98a41e4c765301401fc43310d8b1","Deinococcota","Thermus","Thermus_g",25,2,27,2,2
"7e4a78256b2ddd68d310e3d24f70f432","Proteobacteria","Pseudomonas","Pseudomonas_g",11,7,18,2,1
"e54b60533120912c2eb5b6ceb7d45eb4","Proteobacteria","Alicycliphilus","Alicycliphilus_g",10,7,17,1,1
"2bf4a87481c37bed26c6678f83d2438c","Proteobacteria","Acinetobacter","Acinetobacter_g",2,1,3,2,1
