"filter_id","filter","distance_id","distance","variable_id","variable","n_samples","permutation_strata","Df","SumOfSqs","R2","F","p_value","error"
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","collection_medium","Collection medium",48,"Participant identity",3,0.319552900573736,0.023522970024563,0.353314568361056,0.9573,NA
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","subject_id","Participant identity",48,"None",4,2.05974135570486,0.483771252947948,10.0741018373897,1e-04,NA
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.651946179838517,0.15312253618716,8.3171851484833,1e-04,NA
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.0807942431563404,0.0189761360738171,0.207939348159306,0.9749,NA
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.0637273771400271,0.0149676429036728,0.222861135141777,0.9374,NA
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.0642774316831949,0.0150968341610125,0.224814217317395,0.9443,NA
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","subject_id","Participant identity",48,"None",4,4.72203201155105,0.488830094262881,10.2801895306185,1e-04,NA
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.70016778699489,0.0724821611711439,3.59473346419145,1e-04,NA
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.378406786829721,0.0391730985353754,0.438279578364605,0.8114,NA
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.311869390557604,0.0322850720221833,0.489311858243384,0.6228,NA
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.321240834845803,0.0332552145336219,0.504521104044873,0.5851,NA
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","subject_id","Participant identity",48,"None",4,6.1859430443123,0.455360450628849,8.98782479148293,1e-04,NA
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","site_group","Anatomical site",48,"Participant identity",1,1.67201733215817,0.123080759130305,6.45636981847835,1e-04,NA
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","swab_type2","Sampling system",48,"Participant identity",4,0.384481518375448,0.0283025039531982,0.313113822701697,0.9905,NA
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","swab_material","Swab-tip material",48,"Participant identity",3,0.309090777935014,0.022752830880834,0.341477772253889,0.9598,NA
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","collection_medium","Collection medium",48,"Participant identity",3,0.319552900573736,0.023522970024563,0.353314568361056,0.9573,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","subject_id","Participant identity",48,"None",4,5.08911026037676,0.473026188183789,9.64949568452029,1e-04,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,1.78517205662632,0.165929423807698,9.15120819871044,1e-04,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.140480726893052,0.0130575010867595,0.14222524294701,0.9991,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.0988962466967878,0.00919227766882809,0.136070873730113,0.997,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.0690638138745973,0.0064193917889523,0.0947593771388316,0.9997,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","subject_id","Participant identity",48,"None",4,2.94217375961801,0.650160811467896,19.9784042279714,1e-04,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.268983548430109,0.0594399163363959,2.90702975701882,1e-04,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.138012558161826,0.0304979801121274,0.338166687103228,0.6189,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.115521099281545,0.0255278232310467,0.384216279316226,0.471,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.119589769907351,0.0264269170344028,0.398115755204108,0.4604,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","subject_id","Participant identity",48,"None",4,5.99885895772,0.448023992930697,8.72548419192483,1e-04,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","site_group","Anatomical site",48,"Participant identity",1,1.68984496607347,0.126205849224004,6.64397794280092,1e-04,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","swab_type2","Sampling system",48,"Participant identity",4,0.363223917474451,0.0271273305443213,0.299750226835558,0.9944,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","swab_material","Swab-tip material",48,"Participant identity",3,0.289768986476004,0.0216413586756177,0.324427649025916,0.9738,NA
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","collection_medium","Collection medium",48,"Participant identity",3,0.304597216447416,0.0227488030824139,0.341415915301807,0.9673,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","subject_id","Participant identity",37,"None",4,4.16831954845518,0.553875468811768,9.93221273596491,1e-04,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","site_group","Anatomical site",37,"Participant identity",1,1.28508742686767,0.170759077548225,7.2072754158312,1e-04,NA
