"sample_1","sample_2","distance_value","subject_1","site_1","type_1","subject_2","site_2","type_2","same_participant","same_site","same_system","comparison_group","filter_id","filter","distance_id","distance"
"001AcRUSw_2","002FhCUSw",0.383956273377348,"S001","Antecubital","Type 2","S002","Forehead","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","002FhCUSw",0.00720132337446337,"S001","Forehead","Type 5","S002","Forehead","Type 5",FALSE,TRUE,TRUE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","002FhCUSw",0.0437767836144576,"S001","Forehead","Type 3","S002","Forehead","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","002FhCUSw",0.0528701880142597,"S001","Forehead","Type 4","S002","Forehead","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","002FhCUSw",0.0161761899202131,"S001","Forehead","Type 1","S002","Forehead","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_2","002FhCUSw",0.036493196640236,"S001","Forehead","Type 2","S002","Forehead","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcCUSw","002FhCUSw",0.306755446171363,"S002","Antecubital","Type 5","S002","Forehead","Type 5",TRUE,FALSE,TRUE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcLUSw_3","002FhCUSw",0.240491394450065,"S002","Antecubital","Type 3","S002","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcLUSw_4","002FhCUSw",0.302954825632042,"S002","Antecubital","Type 4","S002","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcRUSw_1","002FhCUSw",0.141161044104382,"S002","Antecubital","Type 1","S002","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcRUSw_2","002FhCUSw",0.238211105162008,"S002","Antecubital","Type 2","S002","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002FhLUSw_3",0.292204646018964,"S001","Antecubital","Type 5","S002","Forehead","Type 3",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002FhLUSw_3",0.270946710972499,"S001","Antecubital","Type 3","S002","Forehead","Type 3",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
