"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"prevalence_ge_2","Prevalence >=2 samples","005FhLUSw_4",0.0122344944774851,0.987765505522515,"S005","Forehead","Omni","Type 4"
"prevalence_ge_2","Prevalence >=2 samples","005FhRUSw_1",0.0218352809721123,0.978164719027888,"S005","Forehead","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","005FhRUSw_2",0.042317120371565,0.957682879628435,"S005","Forehead","Puritan_gel","Type 2"
"prevalence_ge_5","Prevalence >=5 samples","001AcCUSw",0.076564807452005,0.923435192547995,"S001","Antecubital","Eswab","Type 5"
"prevalence_ge_5","Prevalence >=5 samples","001AcLUSw_3",0.041071527816373,0.958928472183627,"S001","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_5","Prevalence >=5 samples","001AcLUSw_4",0.041925307825379,0.958074692174621,"S001","Antecubital","Omni","Type 4"
"prevalence_ge_5","Prevalence >=5 samples","001AcRUSw_1",0.0171963430561602,0.98280365694384,"S001","Antecubital","Copan","Type 1"
"prevalence_ge_5","Prevalence >=5 samples","001AcRUSw_2",0.0566290765010668,0.943370923498933,"S001","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_5","Prevalence >=5 samples","001FhCUSw",0.00527505651846272,0.994724943481537,"S001","Forehead","Eswab","Type 5"
"prevalence_ge_5","Prevalence >=5 samples","001FhLUSw_3",0.00462262221313151,0.995377377786869,"S001","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_5","Prevalence >=5 samples","001FhLUSw_4",0.000928628283364279,0.999071371716636,"S001","Forehead","Omni","Type 4"
"prevalence_ge_5","Prevalence >=5 samples","001FhRUSw_1",0.00151386129245907,0.998486138707541,"S001","Forehead","Copan","Type 1"
"prevalence_ge_5","Prevalence >=5 samples","001FhRUSw_2",0.00270771513353114,0.997292284866469,"S001","Forehead","Puritan_gel","Type 2"
"prevalence_ge_5","Prevalence >=5 samples","002AcCUSw",0.141030462579917,0.858969537420083,"S002","Antecubital","Eswab","Type 5"
"prevalence_ge_5","Prevalence >=5 samples","002AcLUSw_3",0.0812337289855711,0.918766271014429,"S002","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_5","Prevalence >=5 samples","002AcLUSw_4",0.292698116145103,0.707301883854897,"S002","Antecubital","Omni","Type 4"
"prevalence_ge_5","Prevalence >=5 samples","002AcRUSw_1",0.0504096342391547,0.949590365760845,"S002","Antecubital","Copan","Type 1"
"prevalence_ge_5","Prevalence >=5 samples","002AcRUSw_2",0.0666031395757057,0.933396860424294,"S002","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_5","Prevalence >=5 samples","002FhCUSw",0.000381263616557774,0.999618736383442,"S002","Forehead","Eswab","Type 5"
"prevalence_ge_5","Prevalence >=5 samples","002FhLUSw_3",0.00192932575142162,0.998070674248578,"S002","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_5","Prevalence >=5 samples","002FhLUSw_4",0.000646348133048259,0.999353651866952,"S002","Forehead","Omni","Type 4"
"prevalence_ge_5","Prevalence >=5 samples","002FhRUSw_1",0.00584178498985802,0.994158215010142,"S002","Forehead","Copan","Type 1"
"prevalence_ge_5","Prevalence >=5 samples","002FhRUSw_2",0.0114272478091341,0.988572752190866,"S002","Forehead","Puritan_gel","Type 2"
"prevalence_ge_5","Prevalence >=5 samples","003AcCUSw",0.214174518639902,0.785825481360098,"S003","Antecubital","Eswab","Type 5"
