"filter_id","filter","distance_id","distance","comparison_group","n_pairs","mean_distance","median_distance","sd_distance","q25","q75"
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","Between participants, same site",500,0.812218026995201,0.830058932655296,0.10324567604881,0.757297950939249,0.880213866987843
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","Within participant, between sites",125,0.792465693053737,0.802072310402871,0.105150467212129,0.736339226081723,0.870607249277973
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","Within participant/site, between systems",100,0.694906346558359,0.732315748730099,0.158564588130956,0.659936836309326,0.792511593594541
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","Between participants and sites",500,0.202446842705107,0.195607551654765,0.118822302761293,0.103260695365573,0.290488028459498
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","Between participants, same site",500,0.158255295293653,0.140547806552892,0.0984787682587173,0.082012090701419,0.220799828226364
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","Within participant, between sites",125,0.173831733828629,0.137244580608447,0.0871150047941159,0.103575765924746,0.239532557165879
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","Within participant/site, between systems",100,0.0708786723201604,0.0465849738381848,0.0715999581111875,0.0237597433785334,0.094108680429888
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","Between participants and sites",500,0.814877467665078,0.899591558883594,0.18523733191547,0.727833560245065,0.964857045609258
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","Between participants, same site",500,0.747876446562287,0.826667801225323,0.253073153182861,0.635083390061266,0.937627637848877
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","Within participant, between sites",125,0.711669162695711,0.732811436351259,0.213549386241833,0.578284547311096,0.901803948264125
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","Within participant/site, between systems",100,0.379387338325391,0.413291354663036,0.229169270548852,0.179458815520762,0.566584411164057
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","Between participants and sites",500,0.81718123648526,0.835111584486107,0.109710710942313,0.755760366186236,0.900483001711194
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","Between participants, same site",500,0.797720461312398,0.820175343688924,0.10795451886284,0.724838126120553,0.873133575217312
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","Within participant, between sites",125,0.76564929114237,0.775580569023443,0.10896100019707,0.707772685628969,0.842526619436103
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","Within participant/site, between systems",100,0.650770170906934,0.673446106953848,0.162443212706761,0.592970955061204,0.774035458507303
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","Between participants and sites",500,0.214046595668938,0.208244978577554,0.121121693598809,0.105407548943478,0.298387349577398
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","Between participants, same site",500,0.16963204590998,0.154005042298627,0.0994370527692895,0.0935448710799813,0.23855871668932
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","Within participant, between sites",125,0.183796961292485,0.147860410751014,0.0808281792082992,0.119416903432235,0.240700790113575
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","Within participant/site, between systems",100,0.0754965419656886,0.0557809464913301,0.0720381751981326,0.0250085334156275,0.0994681891444739
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","Between participants and sites",500,0.815682096664398,0.899846834581348,0.184655825084726,0.728514295439074,0.965537780803267
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","Between participants, same site",500,0.748969026548673,0.830071477195371,0.25340236769156,0.637721238938053,0.938265827093261
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","Within participant, between sites",125,0.712633083730429,0.734002722940776,0.212993554268864,0.580667120490129,0.903675970047651
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","Within participant/site, between systems",100,0.38177842069435,0.418056501021103,0.229579510994087,0.180224642614023,0.57003063308373
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","Between participants and sites",500,0.826031586034696,0.847408336890619,0.105934118234707,0.775660501400444,0.898168921696919
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","Between participants, same site",500,0.808902097909478,0.830048036259616,0.107593840793584,0.752051030745908,0.878686611555334
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","Within participant, between sites",125,0.784126775002337,0.796115838284264,0.109755788725329,0.728678636718223,0.870191863829956
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","Within participant/site, between systems",100,0.686325133013487,0.731557102366822,0.156267627511574,0.634729882409753,0.782278730679911
"remove_count_le_2","Remove count <=2","wunifrac","Weighted UniFrac","Between participants and sites",500,0.202862642604456,0.196776112541387,0.119273620651271,0.101879557643185,0.289990359540621
"remove_count_le_2","Remove count <=2","wunifrac","Weighted UniFrac","Between participants, same site",500,0.158755097623073,0.139676150411452,0.0989086573375341,0.0820496608995027,0.222296255466019
"remove_count_le_2","Remove count <=2","wunifrac","Weighted UniFrac","Within participant, between sites",125,0.1740849579269,0.13903674902885,0.086525993915839,0.104343175090814,0.239531375070605
"remove_count_le_2","Remove count <=2","wunifrac","Weighted UniFrac","Within participant/site, between systems",100,0.0709299399024721,0.0487344016204114,0.0715926661854357,0.0245449644060178,0.091538135884003
