"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"002AcLUSw_3",130,2.26011146166732,"S002","Antecubital","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"002AcLUSw_4",89,3.04157359291734,"S002","Antecubital","Omni","Type 4","remove_count_le_2","Remove count <=2"
"002AcRUSw_1",88,1.43749384862,"S002","Antecubital","Copan","Type 1","remove_count_le_2","Remove count <=2"
"002AcRUSw_2",112,1.85449676531859,"S002","Antecubital","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"002FhCUSw",7,0.0612150848378699,"S002","Forehead","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"002FhLUSw_3",13,0.116735523818402,"S002","Forehead","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"002FhLUSw_4",10,0.0987342287373922,"S002","Forehead","Omni","Type 4","remove_count_le_2","Remove count <=2"
"002FhRUSw_1",27,0.410601702632061,"S002","Forehead","Copan","Type 1","remove_count_le_2","Remove count <=2"
"002FhRUSw_2",25,0.522378067979247,"S002","Forehead","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"003AcCUSw",115,3.23049345165882,"S003","Antecubital","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"003AcLUSw_3",25,2.28848578242958,"S003","Antecubital","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"003AcLUSw_4",131,3.72341115852102,"S003","Antecubital","Omni","Type 4","remove_count_le_2","Remove count <=2"
"003AcRUSw_1",148,3.67177622248517,"S003","Antecubital","Copan","Type 1","remove_count_le_2","Remove count <=2"
"003AcRUSw_2",14,2.1891620777634,"S003","Antecubital","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"003FhCUSw",25,1.39678607287421,"S003","Forehead","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"003FhLUSw_3",8,0.181995504243574,"S003","Forehead","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"003FhLUSw_4",27,0.979178854977276,"S003","Forehead","Omni","Type 4","remove_count_le_2","Remove count <=2"
"003FhRUSw_1",16,0.563717429520974,"S003","Forehead","Copan","Type 1","remove_count_le_2","Remove count <=2"
"003FhRUSw_2",6,0.0880280786797301,"S003","Forehead","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"004AcCUSw",144,3.66001405432424,"S004","Antecubital","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"004AcLUSw_3",238,3.99206096634543,"S004","Antecubital","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"004AcLUSw_4",269,4.51256366843569,"S004","Antecubital","Omni","Type 4","remove_count_le_2","Remove count <=2"
"004AcRUSw_1",208,4.32252220815721,"S004","Antecubital","Copan","Type 1","remove_count_le_2","Remove count <=2"
"004AcRUSw_2",206,4.21084030963509,"S004","Antecubital","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"004FhCUSw",78,1.1474600379104,"S004","Forehead","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"004FhLUSw_3",139,3.18806624165868,"S004","Forehead","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"004FhLUSw_4",136,3.23816793048676,"S004","Forehead","Omni","Type 4","remove_count_le_2","Remove count <=2"
